日付,10R_1着,10R_2着,10R_3着,10R_払戻,11R_1着,11R_2着,11R_3着,11R_払戻,12R_1着,12R_2着,12R_3着,12R_払戻,10R_人気,11R_人気,12R_人気,10R_風速,10R_風向,10R_波高,11R_風速,11R_風向,11R_波高,12R_風速,12R_風向,12R_波高
2024-01-23,1,2,5,780,3,1,5,10200,2,3,4,830,2,28,1,8,9,7,8,9,7,10,9,9
2024-01-24,1,2,5,1100,3,1,5,8640,1,2,3,820,4,23,3,8,9,7,8,9,7,8,9,7
2024-01-25,1,4,2,1100,1,2,3,650,1,5,2,1510,5,2,6,4,9,3,3,11,2,3,13,2
2024-01-26,1,4,6,2850,1,3,4,770,1,3,4,920,12,4,5,3,11,2,2,11,1,3,11,2
2024-01-27,1,3,2,1130,1,3,4,1660,1,4,2,1600,4,7,7,2,7,1,2,9,1,3,9,2
2024-02-01,2,1,3,2160,1,2,6,1140,3,2,5,9950,9,4,28,1,15,1,1,1,1,0,17,1
2024-02-02,3,1,5,1610,1,3,5,900,1,4,6,1600,6,3,7,1,1,1,0,17,1,1,11,1
2024-02-03,1,5,6,1450,1,4,2,810,1,2,5,520,6,2,1,2,1,1,2,15,1,2,13,1
2024-02-04,1,2,5,1000,1,3,4,860,1,5,4,4280,3,4,16,2,1,1,2,1,1,1,1,1
2024-02-05,4,1,3,3830,1,2,3,1140,1,2,3,680,13,3,1,5,11,4,5,11,4,5,11,4
2024-02-14,2,1,3,3390,4,5,3,41660,2,6,3,164650,11,72,106,2,1,1,2,15,1,2,3,1
2024-02-15,1,2,4,620,1,3,2,580,1,4,3,1380,2,1,6,5,9,4,5,9,4,4,9,3
2024-02-16,1,5,2,960,1,4,2,2430,1,2,4,420,5,7,1,3,11,2,3,11,2,3,11,2
2024-02-17,2,1,3,1170,1,2,4,690,1,5,2,1000,5,3,5,1,11,1,1,15,1,1,1,1
2024-02-18,1,2,3,420,1,2,4,1380,1,2,5,2030,1,7,8,1,1,1,1,1,1,2,1,1
2024-02-19,1,2,6,630,1,2,4,540,1,5,2,1920,2,2,9,1,1,1,1,15,1,0,17,1
2024-02-20,1,2,5,1700,1,4,2,1030,2,1,3,2600,6,4,10,2,9,1,1,9,1,2,5,1
2024-02-28,1,3,6,3420,1,4,2,1380,1,4,3,2900,14,4,9,1,3,1,1,3,1,1,1,1
2024-02-29,1,5,2,660,2,4,5,4390,1,2,6,2310,2,22,8,5,11,4,4,9,3,7,11,6
2024-03-01,5,1,2,7100,1,2,3,390,1,2,3,780,22,1,3,5,9,4,5,9,4,4,9,3
2024-03-02,1,2,3,380,1,2,3,1000,1,2,4,530,1,3,1,4,9,3,4,9,3,3,11,2
